occasion,prompt_index,rank,score,row_id,product_url,product_name,image_url,product_category,color
wedding_guest,2,17,0.26362597942352295,905,https://www.zara.com/es/en/bandana-volume-midi-skirt-p01255415.html,VOLUME SCARF MIDI SKIRT,https://static.zara.net/assets/public/5caa/d605/d35342109d54/f09c67ad049a/01255415712-e1/01255415712-e1.jpg?ts=1768220458277&w=4800,SKIRTS,ECRU
wedding_guest,2,18,0.26296713948249817,570,https://www.zara.com/es/en/satin-flowing-trousers-p02211608.html,FLOWING SATIN TROUSERS,https://static.zara.net/assets/public/9066/d8dd/f94b49eeb7d0/dc4c48ac0995/02211608401-e1/02211608401-e1.jpg?ts=1769164371635&w=4800,TROUSERS,NAVY BLUE
wedding_guest,2,19,0.2628602385520935,938,https://www.zara.com/es/en/voluminous-midi-skirt-p01255401.html,VOLUMINOUS MIDI SKIRT,https://static.zara.net/assets/public/217f/71ca/abed4a3fb109/af10b2872dac/01255401250-e1/01255401250-e1.jpg?ts=1768466814874&w=4800,SKIRTS,WHITE
wedding_guest,2,20,0.2625635266304016,926,https://www.zara.com/es/en/balloon-midi-skirt-with-belt-p02028674.html,MIDI BALLOON SKIRT WITH BELT,https://static.zara.net/assets/public/f408/80dd/5c334d04b259/47b56c4df2bf/02028674707-e1/02028674707-e1.jpg?ts=1764263259329&w=4800,SKIRTS,CAMEL
wedding_guest,3,1,0.2896903455257416,621,https://www.zara.com/es/en/water-resistant-windproof-recco--technology-ski-collection-jumpsuit-p08073031.html,MONO WATER RESISTANT WINDPROOF RECCO® TECHNOLOGY SKI COLLECTION,https://static.zara.net/assets/public/e0ef/8839/848042908b2d/3ced68c42592/08073043800-e1/08073043800-e1.jpg?ts=1763480278151&w=4800,TROUSERS,BLACK
wedding_guest,3,2,0.28545719385147095,958,https://www.zara.com/es/en/voluminous-midi-skirt-p01255411.html,VOLUMINOUS MIDI SKIRT,https://static.zara.net/assets/public/143e/3457/e258484b906c/ae11b9609770/01255411420-e1/01255411420-e1.jpg?ts=1767873074177&w=4800,SKIRTS,BLUISH
wedding_guest,3,3,0.28048574924468994,217,https://www.zara.com/es/en/midi-dress-with-bow-detail-p04772304.html,MIDI DRESS WITH TIE DETAIL,https://static.zara.net/assets/public/27fd/856e/410e4cbfadf2/c8465c6af266/04772304096-e1/04772304096-e1.jpg?ts=1767952396507&w=4800,DRESSES,WHITE / GREY
wedding_guest,3,4,0.27984893321990967,192,https://www.zara.com/es/en/trench-coat-midi-dress-p03067310.html,TRENCH COAT MIDI DRESS,https://static.zara.net/assets/public/7ae4/32e0/2a48428182ef/7ef4e6974249/03067310726-e2/03067310726-e2.jpg?ts=1769101967539&w=4800,DRESSES,BISCUIT
wedding_guest,3,5,0.27719646692276,602,https://www.zara.com/es/en/darted-trousers-p01255406.html,DARTED TROUSERS,https://static.zara.net/assets/public/e2c0/df80/2ffd4b6096d0/9417634e5d3f/02180410645-e1/02180410645-e1.jpg?ts=1769173719339&w=4800,TROUSERS,MID-PINK
wedding_guest,3,6,0.2768186926841736,22,https://www.zara.com/es/en/asymmetric-check-blazer-with-wool-zw-collection-limited-edition-p02086827.html,ASYMMETRIC CHECK BLAZER WITH WOOL ZW COLLECTION LIMITED EDITION,https://static.zara.net/assets/public/7b0a/c07a/31f04b23a859/dcdda1d4bedf/02086827806-e1/02086827806-e1.jpg?ts=1767613072665&w=4800,JACKETS,STONE
wedding_guest,3,7,0.276589035987854,211,https://www.zara.com/es/en/short-polyamide-blend-dress-p01355015.html,SHORT POLYAMIDE BLEND DRESS,https://static.zara.net/assets/public/f176/06a6/49354d64b5f3/1d680f32bc18/01355015800-e1/01355015800-e1.jpg?ts=1768466232205&w=4800,DRESSES,BLACK
