product_id,reference_number,image_path,status,error
194,2180/338/708,data/images/2180_338_708.jpg,ok,
195,6929/085/443,data/images/6929_085_443.jpg,ok,
196,5029/052/401,data/images/5029_052_401.jpg,ok,
197,0264/154/081,data/images/0264_154_081.jpg,ok,
198,5067/156/807,data/images/5067_156_807.jpg,ok,
199,5536/004/800,data/images/5536_004_800.jpg,ok,
200,5755/126/700,data/images/5755_126_700.jpg,ok,
201,1579/103/485,data/images/1579_103_485.jpg,ok,
202,2678/108/073,data/images/2678_108_073.jpg,ok,
203,2180/314/089,data/images/2180_314_089.jpg,ok,
204,7200/305/758,data/images/7200_305_758.jpg,ok,
205,4772/309/716,data/images/4772_309_716.jpg,ok,
206,3067/304/082,data/images/3067_304_082.jpg,ok,
207,1971/170/084,data/images/1971_170_084.jpg,ok,
208,1971/053/030,data/images/1971_053_030.jpg,ok,
209,2298/001/064,data/images/2298_001_064.jpg,ok,
210,5584/010/800,data/images/5584_010_800.jpg,ok,
211,1355/015/800,data/images/1355_015_800.jpg,ok,
212,1355/011/800,data/images/1355_011_800.jpg,ok,
213,5039/180/084,data/images/5039_180_084.jpg,ok,
214,2298/459/093,data/images/2298_459_093.jpg,ok,
215,4772/314/733,data/images/4772_314_733.jpg,ok,
216,1579/102/800,data/images/1579_102_800.jpg,ok,
217,4772/304/096,data/images/4772_304_096.jpg,ok,
218,0858/028/800,data/images/0858_028_800.jpg,ok,
219,2116/341/800,data/images/2116_341_800.jpg,ok,
220,2124/150/800,data/images/2124_150_800.jpg,ok,
221,0881/344/700,data/images/0881_344_700.jpg,ok,
222,9801/242/716,data/images/9801_242_716.jpg,ok,
223,3067/318/049,data/images/3067_318_049.jpg,ok,
224,2180/301/111,data/images/2180_301_111.jpg,ok,
225,3253/317/700,data/images/3253_317_700.jpg,ok,
226,3644/169/814,data/images/3644_169_814.jpg,ok,
227,5584/009/800,data/images/5584_009_800.jpg,ok,
228,1758/116/800,data/images/1758_116_800.jpg,ok,
229,2268/541/610,data/images/2268_541_610.jpg,ok,
230,1198/001/712,data/images/1198_001_712.jpg,ok,
231,1758/663/916,data/images/1758_663_916.jpg,ok,
232,9751/710/620,data/images/9751_710_620.jpg,ok,
233,8779/107/800,data/images/8779_107_800.jpg,ok,
234,5919/040/700,data/images/5919_040_700.jpg,ok,
235,9457/090/736,data/images/9457_090_736.jpg,ok,
236,1067/101/700,data/images/1067_101_700.jpg,ok,
237,1131/302/087,data/images/1131_302_087.jpg,ok,
238,3920/116/800,data/images/3920_116_800.jpg,ok,
