product_url,product_name,mrp,color,reference_number,description,product_image,product_category
https://www.zara.com/es/en/long-sleeve-ribbed-top-p03253838.html,LONG SLEEVE RIBBED TOP,9.95 EUR,WHITE,3253/838/250,Fitted long sleeve top in a ribbed knit with a V-neck.,https://static.zara.net/assets/public/8326/52a2/827049dbb4b7/4bb2003cce43/03253838250-p/03253838250-p.jpg?ts=1758812160333&w=1118,TOPS
https://www.zara.com/es/en/long-sleeve-ribbed-top-p03253838.html,LONG SLEEVE RIBBED TOP,9.95 EUR,WHITE,3253/838/250,Fitted long sleeve top in a ribbed knit with a V-neck.,https://static.zara.net/assets/public/8326/52a2/827049dbb4b7/4bb2003cce43/03253838250-p/03253838250-p.jpg?ts=1758812160333&w=1118,TOPS
https://www.zara.com/es/en/long-sleeve-ribbed-top-p03253838.html,LONG SLEEVE RIBBED TOP,9.95 EUR,WHITE,3253/838/250,Fitted long sleeve top in a ribbed knit with a V-neck.,https://static.zara.net/assets/public/8326/52a2/827049dbb4b7/4bb2003cce43/03253838250-p/03253838250-p.jpg?ts=1758812160333&w=1118,TOPS
https://www.zara.com/es/en/high-neck-top-p00858730.html,HIGH NECK TOP,17.95 EUR,BLACK,0858/730/800,"Top crafted in a lyocell blend knit. Featuring a high neck, dropped armholes and a straight hem.",https://static.zara.net/assets/public/e087/1b7d/60d14f309063/a43bb273ad08/00858730800-p/00858730800-p.jpg?ts=1758879419200&w=1118,TOPS
https://www.zara.com/es/en/high-neck-top-p00858730.html,HIGH NECK TOP,17.95 EUR,BLACK,0858/730/800,"Top crafted in a lyocell blend knit. Featuring a high neck, dropped armholes and a straight hem.",https://static.zara.net/assets/public/e087/1b7d/60d14f309063/a43bb273ad08/00858730800-p/00858730800-p.jpg?ts=1758879419200&w=1118,TOPS
https://www.zara.com/es/en/sleeveless-top-p05644010.html,SLEEVELESS TOP,17.95 EUR,GREY,5644/010/802,Spun cotton top. Features a fluid high neck and sleeveless design. Asymmetric hem.,https://static.zara.net/assets/public/61fa/5a30/146644ddb3eb/34a57306555e/05644010802-p/05644010802-p.jpg?ts=1767965259262&w=1118,TOPS
https://www.zara.com/es/en/double-rustic-top-p05644008.html,DOUBLE RUSTIC TOP,17.95 EUR,WHITE / GREEN,5644/008/063,Top made of 22% wool yarn. Featuring a round neck and sleeveless design. With a double-effect fabric detail and side ruching.,https://static.zara.net/assets/public/1167/1c47/a6e24e228d9d/59a0276ba613/05644008063-p/05644008063-p.jpg?ts=1767965257712&w=1118,TOPS
https://www.zara.com/es/en/check-cape-crop-top-p02171018.html,CHECK CAPE CROP TOP,25.95 EUR,SAND / BLUE,2171/018/090,High neck crop top with long sleeve and elasticated cuffs. Features a tonal layered cape detail. Back fastening with opening and inner buttons.,https://static.zara.net/assets/public/5754/d441/d9a04ce69755/a32145ecaa63/02171018090-p/02171018090-p.jpg?ts=1767009831706&w=1118,TOPS
https://www.zara.com/es/en/zw-collection-lace-camisole-top-p05919105.html,ZW COLLECTION LACE CAMISOLE TOP,35.95 EUR,BROWN,5919/105/700,"ZARA WOMAN COLLECTION

V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.",https://static.zara.net/assets/public/60d7/0e0e/0a3345c8bef3/2b21f6516fa3/05919105700-p/05919105700-p.jpg?ts=1763572714591&w=1118,TOPS
https://www.zara.com/es/en/zw-collection-lace-camisole-top-p05919105.html,ZW COLLECTION LACE CAMISOLE TOP,35.95 EUR,BROWN,5919/105/700,"ZARA WOMAN COLLECTION

V-neck camisole top with thin straps. Featuring matching lace appliqué detail and an asymmetric hem.",https://static.zara.net/assets/public/60d7/0e0e/0a3345c8bef3/2b21f6516fa3/05919105700-p/05919105700-p.jpg?ts=1763572714591&w=1118,TOPS
