row_id,score,product_name,product_url,price,color,product_category,image_url
181,0.2735309302806854,CHECK SHIRT DRESS,https://www.zara.com/es/en/check-shirt-dress-p04772303.html,39.95 EUR,BROWN-BLUE,DRESSES,https://static.zara.net/assets/public/ed36/79cf/bbb94f278739/e1777d9ecacb/04772303049-e1/04772303049-e1.jpg?ts=1768315176944&w=4800
199,0.27314308285713196,BELTED MIDI DRESS,https://www.zara.com/es/en/belted-midi-dress-p05536004.html,39.95 EUR,BLACK,DRESSES,https://static.zara.net/assets/public/8e98/2a9b/525a41e88ce6/c72acddb0cc7/05536004800-e1/05536004800-e1.jpg?ts=1765294785360&w=4800
178,0.27181586623191833,DRESS WITH LACE DETAIL,https://www.zara.com/es/en/combined-lace-dress-p01067004.html,29.95 EUR,BLACK,DRESSES,https://static.zara.net/assets/public/d844/58b0/b4dd4b6db6fd/b9828c4f178e/01067004800-e1/01067004800-e1.jpg?ts=1768466217970&w=4800
209,0.2711392939090729,LONG CONTRAST DRESS,https://www.zara.com/es/en/long-combined-dress-p02298001.html,35.95 EUR,BLACK / WHITE,DRESSES,https://static.zara.net/assets/public/e1dc/e027/3b6146d88210/247878615d28/02298001064-e1/02298001064-e1.jpg?ts=1769083275070&w=4800
168,0.27111443877220154,SHORT DRESS WITH CONTRAST LACE,https://www.zara.com/es/en/short-dress-with-contrast-lace-p07200315.html,35.95 EUR,BROWN / GREEN,DRESSES,https://static.zara.net/assets/public/8021/3433/825a41c88de5/db9cc972e775/07200315054-e1/07200315054-e1.jpg?ts=1768900400734&w=4800
225,0.2708515524864197,DRAPED LONG DRESS,https://www.zara.com/es/en/draped-long-dress-p03253317.html,22.95 EUR,BROWN,DRESSES,https://static.zara.net/assets/public/744f/e6f0/2d76472089a2/3e516f96ead3/03253317700-e1/03253317700-e1.jpg?ts=1768900423078&w=4800
192,0.27065566182136536,TRENCH COAT MIDI DRESS,https://www.zara.com/es/en/trench-coat-midi-dress-p03067310.html,35.95 EUR,BISCUIT,DRESSES,https://static.zara.net/assets/public/7ae4/32e0/2a48428182ef/7ef4e6974249/03067310726-e2/03067310726-e2.jpg?ts=1769101967539&w=4800
186,0.26930055022239685,BATWING SLEEVE KNIT DRESS,https://www.zara.com/es/en/batwing-sleeve-knit-dress-p09874003.html,35.95 EUR,SAND / MARL,DRESSES,https://static.zara.net/assets/public/a595/9f9c/59954bbaa515/8393a9d3cdeb/09874003081-e1/09874003081-e1.jpg?ts=1768233439770&w=4800
219,0.2692978084087372,SHORT SATIN SCARF DRESS,https://www.zara.com/es/en/short-satin-scarf-dress-p02116341.html,29.95 EUR,BLACK,DRESSES,https://static.zara.net/assets/public/b8db/fdeb/deb54a7d864a/c18998a56f1e/02116341800-e1/02116341800-e1.jpg?ts=1764606879187&w=4800
215,0.26914265751838684,RUFFLED MIDI DRESS,https://www.zara.com/es/en/ruffled-midi-dress-p04772314.html,49.95 EUR,CREAM,DRESSES,https://static.zara.net/assets/public/c14d/d250/8df3432da931/520b6cca2fe3/04772314733-e1/04772314733-e1.jpg?ts=1768900565092&w=4800
237,0.2689726948738098,STRIPED DRESS WITH BELT,https://www.zara.com/es/en/striped-dress-with-belt-p01131302.html,22.95 EUR,BROWN / ECRU,DRESSES,https://static.zara.net/assets/public/68be/6265/7f954e0688d9/f8790d10d2ce/01131302087-e1/01131302087-e1.jpg?ts=1767959313492&w=4800
